code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
SZ.002049,2021-04-30 00:00:00,82.52908,83.3219419,87.6791109,80.7076405,75.603,0.038,32282056,2720099013.97,3.4222886408214306,80.5647825
SZ.002049,2021-05-06 00:00:00,85.38624,87.3933949,88.1362565,84.314805,79.283,0.03029,25734581,2234000395.65,4.886411558778139,83.3219419
SZ.002049,2021-05-07 00:00:00,86.8933919,86.457675,90.3791271,85.8219569,78.437,0.02849,24199905,2144972498.66,-1.0706986507054772,87.3933949
SZ.002049,2021-05-10 00:00:00,85.3005252,83.24337,85.814814,82.2862214,75.532,0.0225,19112136,1606781429.9,-3.71777867031469,86.457675
SZ.002049,2021-05-11 00:00:00,83.1076549,86.2362451,87.3219659,81.4647879,78.237,0.02295,19500051,1653651959.61,3.595331496069905,83.24337
SZ.002049,2021-05-12 00:00:00,85.886243,87.5933961,87.9505411,85.029095,79.464,0.01638,13912904,1214498412.15,1.5737593843821032,86.2362451
SZ.002049,2021-05-13 00:00:00,86.0719584,84.67195,87.3219659,84.386234,76.823,0.0133,11298035,972555203.4,-3.335235565778013,87.5933961
SZ.002049,2021-05-14 00:00:00,85.529098,91.1362745,92.2505669,83.7148014,82.666,0.02816,23924516,2148924509.84,7.634552528907157,84.67195
SZ.002049,2021-05-17 00:00:00,91.5862772,90.3719842,94.9005828,90.1076969,81.975,0.02672,22696630,2103497598.81,-0.8386235932872141,91.1362745
SZ.002049,2021-05-18 00:00:00,90.3791271,90.7077005,93.0934291,89.6791229,82.278,0.01788,15191300,1391558405.76,0.3714827144406125,90.3719842
SZ.002049,2021-05-19 00:00:00,91.3434186,92.5005684,93.3220019,90.1434114,83.899,0.01827,15519149,1432893603.9,1.9765332933337942,90.7077005
SZ.002049,2021-05-20 00:00:00,91.6148488,90.7362721,92.3291388,89.5362649,82.304,0.01708,14508979,1323271518.88,-1.9073356310316598,92.5005684
SZ.002049,2021-05-21 00:00:00,90.7362721,90.7862724,92.0505657,89.7505519,82.349,0.0127,10789959,985122737.04,0.05510508514709827,90.7362721
