code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
SZ.002049,2021-01-04 09:45:00,97.5648845,102.5434858,102.814916,97.5648845,0.0,0.0,6958354,698559257.26,7.656541854999141,95.2505849
SZ.002049,2021-01-04 10:00:00,102.5434858,101.81491,102.886345,101.0006194,0.0,0.0,3575230,365816642.34,-0.7105042259056904,102.5434858
SZ.002049,2021-01-04 10:15:00,101.9791967,101.0791913,101.9791967,100.243472,0.0,0.0,1780310,180571034.54,-0.7226040861795119,101.81491
SZ.002049,2021-01-04 10:30:00,101.0863342,101.0149052,101.529194,100.886333,0.0,0.0,798905,81095495.75,-0.0635997371696462,101.0791913
SZ.002049,2021-01-04 10:45:00,100.957762,100.2934723,101.0149052,99.7363261,0.0,0.0,1203750,121060269.76,-0.7141846033232692,101.0149052
SZ.002049,2021-01-04 11:00:00,100.3720442,100.7077605,101.3220499,99.6791829,0.0,0.0,949985,95761502.14,0.4130759365482667,100.2934723
SZ.002049,2021-01-04 11:15:00,100.7077605,101.2363351,101.2791925,100.38633,0.0,0.0,426308,43199765.07,0.5248598493062497,100.7077605
SZ.002049,2021-01-04 11:30:00,101.2363351,101.2291922,101.9434822,101.0863342,0.0,0.0,729810,74403993.24,-0.007055668296318217,101.2363351
SZ.002049,2021-01-04 13:15:00,101.2291922,101.1220487,101.81491,101.0934771,0.0,0.0,569934,57956364.96,-0.10584249233987911,101.2291922
SZ.002049,2021-01-04 13:30:00,101.1149058,102.172055,102.172055,101.10062,0.0,0.0,625380,63726517.0,1.0383554462143794,101.1220487
SZ.002049,2021-01-04 13:45:00,102.172055,101.6434804,102.172055,101.1149058,0.0,0.0,628881,64071097.5,-0.5173377397567259,102.172055
SZ.002049,2021-01-04 14:00:00,101.6649091,101.7077665,101.81491,101.6077659,0.0,0.0,537009,54812571.4,0.06324665364371357,101.6434804
SZ.002049,2021-01-04 14:15:00,101.6791949,101.3006212,101.6791949,100.7791895,0.0,0.0,694149,70493794.54,-0.40030895772350916,101.7077665
SZ.002049,2021-01-04 14:30:00,101.3006212,101.7934813,102.1434834,101.3006212,0.0,0.0,1024050,104632637.74,0.48653215958758755,101.3006212
SZ.002049,2021-01-04 14:45:00,101.8006242,101.9077677,101.9077677,101.529194,0.0,0.0,856822,87436249.02,0.11227280818029892,101.7934813
SZ.002049,2021-01-04 15:00:00,101.9006248,100.9934765,101.9291964,100.9291904,0.0,0.0,1443166,146564049.95,-0.897175181671646,101.9077677
SZ.002049,2021-01-05 09:45:00,99.67204,103.6077779,104.1292096,99.6220397,0.0,0.0,4294026,441443099.75,2.5885844220839376,100.9934765
SZ.002049,2021-01-05 10:00:00,103.600635,103.0077743,104.743499,102.9720598,0.0,0.0,2674408,278589086.15,-0.5791105766008403,103.6077779
SZ.002049,2021-01-05 10:15:00,103.1292036,103.8220649,104.1792099,102.5934861,0.0,0.0,1162140,120685940.5,0.7905137311563161,103.0077743
SZ.002049,2021-01-05 10:30:00,103.8220649,103.8220649,104.6434984,103.314919,0.0,0.0,1141980,119052967.4,0.0,103.8220649
SZ.002049,2021-01-05 10:45:00,103.95778,105.3506455,106.10065,103.7077785,0.0,0.0,2748022,290406096.44,1.4723080315078554,103.8220649
SZ.002049,2021-01-05 11:00:00,105.3435026,103.3720622,105.886363,103.029203,0.0,0.0,1574948,164600515.99,-1.8780931911803016,105.3506455
SZ.002049,2021-01-05 11:15:00,103.4006338,103.9149226,104.2792105,103.4006338,0.0,0.0,673191,70193386.36,0.525151949614482,103.3720622
SZ.002049,2021-01-05 11:30:00,103.886351,103.4220625,103.886351,103.1363465,0.0,0.0,726940,75414867.14,-0.4742919377394614,103.9149226
SZ.002049,2021-01-05 13:15:00,103.4363483,103.9220655,103.95778,103.029203,0.0,0.0,608927,63238090.6,0.4834587397635845,103.4220625
SZ.002049,2021-01-05 13:30:00,103.95778,103.7077785,105.2363591,103.6292066,0.0,0.0,693467,72649988.71,-0.2061997122256955,103.9220655
SZ.002049,2021-01-05 13:45:00,103.7149214,102.9934885,103.814922,102.5363429,0.0,0.0,781958,80936216.08,-0.6887525799234099,103.7077785
SZ.002049,2021-01-05 14:00:00,103.0792033,102.457771,103.24349,102.4363423,0.0,0.0,936599,96543288.0,-0.5201469605527577,102.9934885
SZ.002049,2021-01-05 14:15:00,102.457771,102.3720562,102.5077713,101.457765,0.0,0.0,1325087,135548705.5,-0.08365866167437021,102.457771
SZ.002049,2021-01-05 14:30:00,102.3649133,102.8006302,102.9149166,102.2149124,0.0,0.0,767254,78940338.21,0.41864353995460485,102.3720562
SZ.002049,2021-01-05 14:45:00,102.8363447,102.172055,103.0934891,101.6506233,0.0,0.0,1032919,106000446.84,-0.6114507263010924,102.8006302
SZ.002049,2021-01-05 15:00:00,102.1649121,102.9934885,103.2292042,102.100626,0.0,0.0,1391698,143241914.17,0.8039708117841006,102.172055
SZ.002049,2021-01-06 09:45:00,102.9363453,101.743481,103.7292072,101.457765,0.0,0.0,2676648,274519036.66,-1.2136762412897544,102.9934885
SZ.002049,2021-01-06 10:00:00,101.743481,101.9506251,103.600635,101.7363381,0.0,0.0,1818769,187699083.13,0.2035944691139412,101.743481
SZ.002049,2021-01-06 10:15:00,101.9434822,101.9434822,102.5292,101.172049,0.0,0.0,1765920,180153720.65,-0.007006234628757523,101.9506251
